1990,sales (MwH),revenue ($1000)
"Culpeper Town of",45245.0,3116.0
"Cumberland Valley Rural E C C",721.0,47.0
"Dakota Electric Assn",859894.0,64455.0
"Dalton City of",962177.0,39797.0
"Danville City of",726690.0,35906.0
"Dawson County Public Pwr Dist",238631.0,14450.0
"Dayton Power & Light Co",12112767.0,711161.0
"Delaware Electric Coop Inc",488361.0,40395.0
"Delmarva Power & Light Co",8971468.0,592365.0
"Delta City of",29950.0,2246.0
"Detroit Edison Co",39673772.0,3187413.0
"Dixie Electric Power Assn",398642.0,30003.0
"Dixie Escalante R E A Inc",109062.0,5224.0
"Drain City of",28296.0,1138.0
"Drexel Town of",15147.0,1101.0
"Duke Power Co",58359308.0,3251630.0
"East Central Electric Assn",408944.0,28289.0
"Eastern Iowa Light&Power Coop",258306.0,20857.0
"Eastern Maine Electric Coop",88531.0,8451.0
"El Paso Electric Co",4541296.0,357321.0
"Electric Energy Inc",9792583.0,184835.0
"Elk Power Co",13728.0,947.0
"Elkhorn Public Service Co",2445.0,150.0
"Elkton Town of",14322.0,988.0
"Ellinwood City of",13018.0,1022.0
"Empire District Electric Co",2241518.0,107430.0
"Enosburg Falls Village of",16464.0,1278.0
"Eugene City of",2253412.0,77464.0
"Exeter & Hampton Electric Co",440303.0,42354.0
"Fairbanks City of",141879.0,15371.0
"Fairburn City of",29867.0,2442.0
"Fairbury City of",55740.0,2699.0
"Fall River Rural Elec Coop Inc",98854.0,6647.0
"Falmouth City of",17469.0,940.0
"Farmers Mutual Power Assn",1061.0,38.0
"Farmington City of",453870.0,35204.0
"Farmington River Power Co",32150.0,430.0
"First Electric Coop Corp",867037.0,54142.0
"Fitchburg Gas & Elec Light Co",369065.0,38949.0
"Flint Electric Membership Corp",834043.0,56522.0
"Florida Power & Light Co",65222868.0,4803751.0
"Florida Power Corp",24878328.0,1567982.0
"Fox Islands Electric Coop Inc",5927.0,998.0
"Freeport Village of Inc",212534.0,12792.0
"Fremont City of",279564.0,13157.0
"French Broad Elec Member Corp",7050.0,642.0
"Gallup City of",189757.0,14578.0
"Garland City of",1674533.0,106063.0
"Georgia Power Co",53953839.0,3426208.0
"Glidden Rural Electric Coop",28641.0,2327.0
"Golden Valley Elec Assn Inc",462762.0,41619.0
"Goldenwest Electric Coop Inc",8003.0,661.0
"Goldsboro Borough of",2124.0,192.0
"Granbury City of",54609.0,3762.0
"Grand Island City of",448565.0,20827.0
"Granite Falls Town of",33002.0,2527.0
"Granite State Electric Co",608133.0,48570.0
"Green Mountain Power Corp",1657388.0,110973.0
"Green River Electric Corp",4171539.0,145782.0
"Gueydan Town of",12420.0,1132.0
"Gulf States Utilities Co",26465946.0,1558816.0
"Hagerstown City of",283489.0,14801.0
"Hartford City of",22800.0,1337.0
"Hastings City of",230860.0,12148.0
"Hawaii Electric Light Co Inc",715753.0,87955.0
"Hawaiian Electric Co Inc",6470587.0,522963.0
"Henderson-Union Rural E C C",3268146.0,112275.0
"High Point Town of",743041.0,49700.0
"Highline Electric Assn",203178.0,12903.0
"Holland City of",592498.0,30016.0
"Holy Cross Electric Assn Inc",567759.0,38569.0
"Homer Electric Assn Inc",389162.0,31653.0
"Houlton Water Co",78556.0,6266.0
"Houston Lighting & Power Co",58583288.0,3436688.0
"Hyde Park Village of Inc",9138.0,780.0
"Hyrum City Corp",50444.0,2581.0
"Idaho Falls City of",522236.0,21577.0
"Idaho Power Co",10543896.0,380360.0
"Illinois Power Co",15283785.0,1053913.0
"Indian Electric Coop Inc",283305.0,20651.0
"Indiana Michigan Power Co",11351045.0,616292.0
"Indianapolis Power & Light Co",11370699.0,574957.0
"Interstate Power Co",4018349.0,193242.0
"Iowa Electric Light & Power Co",4163299.0,309159.0
"Iowa Power & Light Co",5347768.0,345611.0
"Iowa Public Service Co",3421773.0,185990.0
"Iowa Southern Utilities Co",2188500.0,102179.0
"Iowa-Illinois Gas&Electric Co",2927098.0,168929.0
"Jackson Electric Coop Inc",73746.0,5014.0
"Jackson Electric Member Corp",1542795.0,111590.0
"Jackson Purchase El Coop Corp",445795.0,27723.0
"Jacksonville Electric Auth",8107953.0,538971.0
"James River-NH Electric Inc",340025.0,10523.0
"Jamestown City of",420137.0,13432.0
"Jersey Central Power&Light Co",16465927.0,1523463.0
"Jewell-Mitchell Coop Elec Inc",43796.0,3980.0
"Jewett City City of",18249.0,1683.0
"Kankakee Valley Rural E M C",140285.0,12593.0
"Kanosh Town of",2058.0,139.0
"Kansas City City of",2040215.0,98020.0
"Kansas City Power & Light Co",10491556.0,747200.0
"Kansas Gas & Electric Co",7248690.0,539955.0
"Kansas Power & Light Co",7366878.0,381569.0
"Kentucky Power Co",5529303.0,245429.0
"Kentucky Utilities Co",11079285.0,459815.0
"Kingsport Power Co",1579959.0,65676.0
"Kinston City of",372069.0,30813.0
"Klukwan Indian Village",1336.0,66.0
"Kodiak Electric Assn Inc",107915.0,15719.0
"La Grange City of",501692.0,29229.0
"Laclede Electric Coop Inc",343147.0,21354.0
"Lake Park City of",6814.0,326.0
"Lake Region Coop Elec Assn",229266.0,15096.0
"Lamar County Elec Coop Assn",91398.0,8666.0
"Lanett City of",47335.0,3105.0
"Lee County Electric Coop Inc",1775401.0,147819.0
"Lewes City of",44830.0,3278.0
"Lincoln City of",2000690.0,95533.0
"Lingle Town of",2617.0,179.0
"Linn County Rural El Coop Assn",143610.0,11555.0
"Littleton City of",52680.0,2910.0
"Logan City of",255343.0,14066.0
"Long Island Lighting Co",15853250.0,2062160.0
"Longmont City of",372480.0,18869.0
"Los Angeles City of",21742535.0,1844269.0
"Louisiana Power & Light Co",26019460.0,1394846.0
"Louisville Gas & Electric Co",9144207.0,476476.0
"Loup River Public Power Dist",405777.0,18521.0
"Loveland City of",356354.0,18681.0
"Lower Valley Power & Light Inc",326795.0,16649.0
"Lubec City of",6022.0,769.0
"Lyndonville Village of",60091.0,4730.0
"Madison Gas & Electric Co",2273092.0,139016.0
"Manitou City of",1044.0,66.0
"Marietta City of",777942.0,70633.0
"Massachusetts Electric Co",15512373.0,1239763.0
"Matanuska Electric Assn Inc",410273.0,37262.0
"Matinicus Plantation Elec Co",89.0,26.0
"Maui Electric Co Ltd",781342.0,90840.0
"Mazomanie Village of",9813.0,537.0
"McKenzie Electric Coop Inc",283650.0,17185.0
"McLaughlin City of",6069.0,220.0
"McLeansboro City of",17369.0,1437.0
"McMinnville City of",454106.0,11191.0
"Mesa City of",299305.0,21748.0
"Metropolitan Edison Co",9571231.0,653499.0
"Middletown Town of",21428.0,1972.0
"Mille Lacs Electric Coop",77077.0,7332.0
"Minnesota Power & Light Co",8817990.0,350608.0
"Mississippi Power & Light Co",9385373.0,714885.0
"Mississippi Power Co",6920309.0,335315.0
"Mitchell Electric Member Corp",262678.0,19571.0
"Modesto Irrigation District",1712211.0,109271.0
"Monongahela Power Co",8981451.0,413839.0
"Montana Power Co",6776525.0,279636.0
"Montana-Dakota Utilities Co",1637417.0,106067.0
"Moon Lake Electric Assn Inc",386133.0,26071.0
"Moore Haven City of",11748.0,1121.0
"Mt Wheeler Power Inc",174240.0,11509.0
"Narragansett Electric Co",4591576.0,408961.0
"Navopache Electric Coop Inc",243372.0,23923.0
"Nebraska Public Power District",2427109.0,136772.0
"Needles City of",53601.0,4400.0
"Nevada Power Co",9222152.0,481045.0
"New Bremen Village of",49469.0,2241.0
"New Orleans Public Service Inc",5335090.0,385112.0
"New York State Elec & Gas Corp",13197674.0,1101653.0
"Newark City of",249649.0,18027.0
"Newport Electric Corp",553006.0,53389.0
"Niagara Mohawk Power Corp",33791997.0,2470876.0
"Nixa City of",32177.0,1312.0
"Nodak Rural Electric Coop Inc",440571.0,22448.0
"Nodaway Worth Elec Coop Inc",37755.0,3019.0
"Norris Public Power District",366337.0,19271.0
"North Little Rock City of",750439.0,59698.0
"North Platte City of",198954.0,9728.0
"Northeast Oklahoma El Coop Inc",304261.0,21946.0
"Northern Electric Coop Inc",112495.0,6978.0
"Northern Indiana Pub Serv Co",13045961.0,882549.0
"Northern Lights Inc",230166.0,11126.0
"Northern States Power Co",30168045.0,1657522.0
"Northwestern Public Service Co",889022.0,62471.0
"Norwich City of",272197.0,25027.0
"Nushagak Electric Coop Inc",14297.0,2451.0
"Oak City Town of",2703.0,133.0
"Oglesby City of",33033.0,1800.0
"Ohio Edison Co",20360688.0,1701745.0
"Ohio Power Co",27188631.0,1194252.0
"Ohio Valley Electric Corp",16558494.0,269130.0
"Oklahoma Gas & Electric Co",18393743.0,1040731.0
"Oliver-Mercer Elec Coop Inc",163936.0,11046.0
"Omaha Public Power District",6485469.0,377321.0
"Orange & Rockland Utils Inc",2846246.0,291360.0
"Oregon Trails",599915.0,30684.0
"Otter Tail Power Co",2795196.0,158826.0
"Owen County Rural El Coop Corp",380377.0,26020.0
"Owensboro City of",703032.0,22608.0
"Ozarks Electric Coop Corp",412274.0,27984.0
"PUD No 1 of Chelan County",1120434.0,21330.0
"PUD No 1 of Clark County",3091269.0,111156.0
"PUD No 1 of Cowlitz County",2801212.0,68429.0
"PUD No 1 of Douglas County",588553.0,8522.0
"PUD No 1 of Snohomish County",5429690.0,218539.0
"Pacific Gas & Electric Co",70597824.0,6513008.0
"Pacific Power & Light Co",16011877.0,736685.0
"Pascoag Fire District",31671.0,3868.0
"Pella Coop Elec Assn",31776.0,2538.0
"Pemberton Borough of",6288.0,610.0
"Pender City of",10027.0,495.0
"Pennsylvania Electric Co",11661225.0,726069.0
"Pennsylvania Power & Light Co",27444624.0,1968406.0
"Philadelphia Electric Co",32028209.0,3115437.0
"Pioneer Electric Coop Inc",183303.0,17414.0
"Plaquemine City of",72606.0,6290.0
"Polk-Burnett Electric Coop",123762.0,9839.0
"Portland General Electric Co",15433609.0,705727.0
"Potomac Edison Co",1743285.0,95090.0
"Potomac Electric Power Co",21989429.0,1319259.0
"Power Authority of State of NY",13249044.0,664464.0
"Prairie Power Coop Inc",8382.0,671.0
"Prescott City of",30157.0,2529.0
"Public Serv Comm of Yazoo City",91837.0,5617.0
"Public Service Co of Colorado",18691498.0,1080860.0
"Public Service Co of IN Inc",18222545.0,876733.0
"Public Service Co of NH",6289901.0,568560.0
"Public Service Co of NM",5048829.0,427506.0
"Public Service Co of Oklahoma",13007121.0,597464.0
"Public Service Electric&Gas Co",36584873.0,3291957.0
"Puget Sound Power & Light Co",17556554.0,871974.0
"Raft River Rural Elec Coop Inc",148702.0,5813.0
"Rappahannock Electric Coop",1546554.0,88753.0
"Riverton Valley Elec Assn Inc",245802.0,12609.0
"Rochester City of",845817.0,55526.0
"Rochester Gas & Electric Corp",6368942.0,548500.0
"Rock Hill City of",458671.0,35256.0
"Rockland Electric Co",1156359.0,123461.0
"Rocky Mount City of",724051.0,53794.0
"Rosebud Electric Coop Inc",69517.0,3306.0
"Runestone Electric Assn",128617.0,8649.0
"Safford City of",39509.0,3387.0
"Salt River Proj Ag I & P Dist",14679750.0,1065895.0
"San Antonio City of",11527718.0,659838.0
"San Diego Gas & Electric Co",14331143.0,1251880.0
"San Marcos City of",285903.0,16573.0
"Savannah Electric & Power Co",2824661.0,190750.0
"Schuyler City of",79793.0,3035.0
"Seattle City of",8912651.0,281836.0
"Sebring Utilities Comm",161397.0,15821.0
"Seward City of",46029.0,4500.0
"Shasta Dam Area Pub Util Dist",57678.0,3644.0
"Sheridan Electric Coop Inc",74952.0,4926.0
"Shullsburg City of",8385.0,460.0
"Sierra Electric Coop Inc",18272.0,2254.0
"Sierra Pacific Power Co",5081659.0,334330.0
"Silver Springs Village of",4059.0,170.0
"Singing River Elec Power Assn",744026.0,52740.0
"Sioux Valley Empire E A Inc",215102.0,15787.0
"Sitka City of & Borough of",83539.0,6351.0
"Smoky Valley El Coop Assn Inc",9867.0,925.0
"South Carolina Electric&Gas Co",14481483.0,799828.0
"South Carolina Pub Serv Auth",7495987.0,295078.0
"South Kentucky Rural E C C",2043.0,138.0
"South Plains Electric Coop Inc",365077.0,25093.0
"South River Borough of",39575.0,3942.0
"South Whitley Town of",16561.0,971.0
"Southeastern IL Elec Coop Inc",515842.0,32345.0
"Southern California Edison Co",70077044.0,6767374.0
"Southern Indiana Gas & Elec Co",3951118.0,210782.0
"Southern Maryland El Coop Inc",1878827.0,127898.0
"Southern Nebraska Rural P P D",353710.0,21776.0
"Southern Pine Elec Power Assn",1127530.0,70284.0
"Southwest Mississippi E P A",310848.0,21536.0
"Southwestern Electric Coop Inc",348851.0,18147.0
"Southwestern Electric Power Co",6574451.0,362534.0
"Southwestern Public Service Co",2583321.0,125590.0
"Spring Grove City of",11504.0,716.0
"Springfield City of",3328049.0,167016.0
"St George City of",263389.0,12342.0
"St Joseph Light & Power Co",1336147.0,69576.0
"Strawberry Electric Serv Dist",30034.0,2242.0
"Summerhill Borough of",2813.0,194.0
"Swanton Village of",48233.0,4134.0
"TVA Cooperative",25165774.0,1489442.0
"TVA Municipal",65948822.0,3634075.0
"Tacoma City of",5526347.0,155926.0
"Tampa Electric Co",13435794.0,880392.0
"Tapoco Inc",1633514.0,9930.0
"Templeton City of",73957.0,7082.0
"Tennessee Valley Authority",19473424.0,917394.0
"Texas Utilities Electric Co",78340602.0,4200684.0
"Texas-New Mexico Power Co",6402583.0,389638.0
"Thurmont Municipal Light Co",47614.0,1264.0
"Todd-Wadena Electric Coop",104917.0,7301.0
"Toledo Edison Co",7676952.0,679980.0
"Tongass Power & Light Co",810.0,53.0
"Tri-County Electric Assn Inc",908986.0,51643.0
"Tucson Electric Power Co",6076105.0,464516.0
"U S Bureau of Indian Affairs",220829.0,9229.0
"UGI Corp",784590.0,56480.0
"Unalaska City of",22930.0,3357.0
"Union City City of",12768.0,1179.0
"Union Electric Co",25368572.0,1693448.0
"Union Light Heat & Power Co",2580863.0,135766.0
"United Illuminating Co",5201937.0,543442.0
"Upper Peninsula Power Co",658217.0,47423.0
"Utah Power & Light Co",23483572.0,1069239.0
"UtiliCorp United Inc",3478948.0,225642.0
"Verendrye Electric Coop Inc",226866.0,11998.0
"Vernon City of",1047774.0,68694.0
"Vineland City of",399581.0,33208.0
"Virginia Electric & Power Co",52122997.0,3299637.0
"Wadena City of",48788.0,1834.0
"Wakefield City of",12732.0,558.0
"Wallingford Town of",519772.0,40579.0
"Walton Electric Member Corp",1033246.0,74604.0
"Washington Water Power Co",6510712.0,304275.0
"Washington-St Tammany E C Inc",471967.0,37446.0
"Waynetown City of",4684.0,235.0
"Wells Rural Electric Co",341786.0,12510.0
"West Penn Power Co",15232620.0,698683.0
"West Plains Electric Coop Inc",198349.0,13071.0
"West Point City of",33591.0,2503.0
"Western Area Power Admin",6245666.0,81997.0
"Western Massachusetts Elec Co",3760230.0,351229.0
"Wheatland Electric Coop Inc",407.0,46.0
"Willwood Light & Power Co",875.0,30.0
"Winfield City of",190176.0,10835.0
"Winnsboro Town of",69219.0,4499.0
"Wisconsin Electric Power Co",19109359.0,1029168.0
"Wisconsin Power & Light Co",7121001.0,381387.0
"Wisconsin Public Service Corp",7120184.0,372726.0
"Woodsville City of",16745.0,1062.0
"Yale City of",7425.0,584.0
,,
,,
,,
1991,sales (MwH),revenue ($1000)
"4-County Electric Power Assn",656849.0,41384.0
"Akron City of",10472.0,528.0
"Alabama Power Co",38537369.0,2249962.0
"Alaska Electric Light&Power Co",266495.0,20077.0
"Alaska Village Elec Coop Inc",37557.0,14233.0
"Albany Water Gas & Light Comm",835346.0,53529.0
"Alcorn County Elec Power Assn",563847.0,28232.0
"Allamakee-Clayton El Coop Inc",118113.0,8656.0
"Altamaha Electric Member Corp",209779.0,17721.0
"Anchorage City of",798617.0,69446.0
"Anderson City of",616226.0,36499.0
"Anoka Electric Coop",979140.0,72359.0
"Appalachian Electric Coop",625512.0,37236.0
"Appalachian Power Co",23061379.0,1089277.0
"Arapahoe City of",7644.0,609.0
"Arcanum City of",19091.0,1145.0
"Arizona Public Service Co",15610538.0,1366715.0
"Arkansas Power & Light Co",14653261.0,1080193.0
"Associated Electric Coop Inc",1280314.0,52256.0
"Athens City of",478864.0,25366.0
"Atlanta Power Co Inc",162.0,46.0
"Austin City of",6540257.0,405566.0
"Baker Electric Coop Inc",119733.0,8313.0
"Baltimore Gas & Electric Co",25622237.0,1949922.0
"Bamberg City of",38062.0,2315.0
"Bangor Hydro-Electric Co",1554989.0,143802.0
"Barbourville City of",72350.0,3716.0
"Beauregard Electric Coop Inc",402760.0,32869.0
"Benton City of",128488.0,11836.0
"Berkeley Electric Coop Inc",859524.0,59961.0
"Biwabik City of",6155.0,313.0
"Black Hills Corp",1246345.0,79430.0
"Blackstone Valley Electric Co",1228699.0,133640.0
"Blaine City of",56469.0,2266.0
"Block Island Power Co",6761.0,1883.0
"Blue Ridge Elec Member Corp",588322.0,48515.0
"Blue Ridge Electric Coop Inc",508492.0,43769.0
"Bluffton City of",144220.0,7396.0
"Bonneville Power Admin",28242697.0,588758.0
"Boston Edison Co",12478884.0,1159018.0
"Bowling Green City of",630814.0,36606.0
"Bristol City of",699303.0,37808.0
"Brookings City of",169170.0,6875.0
"Burke City of",6178.0,304.0
"Burlington City of",317235.0,29960.0
"Cambridge Electric Light Co",1293922.0,106855.0
"Caney Valley El Coop Assn Inc",49611.0,5357.0
"Carbon Power & Light Inc",74562.0,5362.0
"Carolina Power & Light Co",31831065.0,2185784.0
"Cascade Locks City of",17560.0,782.0
"Cass County Electric Coop Inc",380362.0,18603.0
"Cedar Falls City of",299261.0,13539.0
"Centel Corp",1098069.0,70354.0
"Central Hudson Gas & Elec Corp",4931532.0,386620.0
"Central Louisiana Elec Co Inc",5747653.0,320566.0
"Central Maine Power Co",8920952.0,758372.0
"Central Power & Light Co",15440797.0,1032255.0
"Central Vermont Pub Serv Corp",1921126.0,186011.0
"Central Virginia Electric Coop",331247.0,23499.0
"Charles Mix Electric Assn Inc",36108.0,2647.0
"Chattanooga City of",4824883.0,260852.0
"Chester Town of",4270.0,622.0
"Cheyenne Light Fuel & Power Co",648890.0,32008.0
"Chugach Electric Assn Inc",920044.0,70326.0
"Cincinnati Gas & Electric Co",16755758.0,951404.0
"Citizens Utilities Co",588531.0,66123.0
"Clarksville City of",758449.0,42558.0
"Clay Electric Coop Inc",1571091.0,132603.0
"Clay-Union Electric Corp",44549.0,3721.0
"Cleveland City of",810932.0,43740.0
"Cleveland Electric Illum Co",19015042.0,1678087.0
"Coast Electric Power Assn",699306.0,49653.0
"Cobb Electric Membership Corp",1598847.0,128520.0
"Cody City of",62257.0,3075.0
"College Park City of",253458.0,16577.0
"Colorado Springs City of",2899024.0,137443.0
"Columbus City of",1011911.0,53547.0
"Columbus Electric Coop Inc",264058.0,14855.0
"Columbus Southern Power Co",13369902.0,767945.0
"Commonwealth Edison Co",74527681.0,6114940.0
"Commonwealth Electric Co",3198929.0,396962.0
"Concord Electric Co",423887.0,41381.0
"Connecticut Light & Power Co",20331194.0,1899364.0
"Consolidated Edison Co-NY Inc",35889676.0,4559913.0
"Consolidated Water Power Co",1027116.0,31793.0
"Consumers Power Co",29593464.0,1838355.0
"Continental Divide El Coop Inc",189130.0,18768.0
"Conway Corp",409363.0,21922.0
"Cookeville City of",420690.0,23240.0
"Cordell City of",21480.0,1564.0
"Cornhusker Public Power Dist",191657.0,10688.0
"Cotton Electric Coop Inc",429677.0,27906.0
"Craig-Botetourt Electric Coop",51103.0,4495.0
"Crescent Electric Member Corp",622124.0,47334.0
"Crow Wing Coop Power&Light Co",246457.0,18410.0
"Cuivre River Electric Coop Inc",479599.0,33517.0
"Cumberland Elec Member Corp",1211544.0,71510.0
"Dakota Electric Assn",936797.0,71405.0
"Dalton City of",961527.0,39958.0
"Danville City of",753156.0,38340.0
"Dawson County Public Pwr Dist",254956.0,15185.0
"Dayton Power & Light Co",12827630.0,766185.0
"Decatur City of",1323401.0,59279.0
"Delaware Electric Coop Inc",522889.0,44389.0
"Delmarva Power & Light Co",9203917.0,622198.0
"Delta City of",31672.0,2431.0
"Detroit Edison Co",40134958.0,3366214.0
"Dixie Electric Power Assn",422977.0,30691.0
"Dixie Escalante R E A Inc",101863.0,5683.0
"Dothan City of",883450.0,49280.0
"Drain City of",24453.0,1036.0
"Duck River Elec Member Corp",920687.0,56639.0
"Duke Power Co",60159446.0,3361747.0
"Durant City of",19373.0,1298.0
"East Central Electric Assn",429006.0,30615.0
"Eastern Iowa Light&Power Coop",267552.0,22584.0
"Eastern Maine Electric Coop",91820.0,9080.0
"El Paso Electric Co",4692721.0,374568.0
"Electric Energy Inc",9975228.0,188727.0
"Elizabethton City of",454825.0,25494.0
"Elk Power Co",14563.0,949.0
"Elkhorn Public Service Co",2447.0,139.0
"Ellaville City of",11430.0,1031.0
"Ellinwood City of",13602.0,1085.0
"Empire District Electric Co",2378185.0,118122.0
"Enosburg Falls Village of",16732.0,1442.0
"Eugene City of",2216261.0,81827.0
"Exeter & Hampton Electric Co",436990.0,42572.0
"Fairbanks City of",143504.0,15028.0
"Fairbury City of",56155.0,2698.0
"Fall River Rural Elec Coop Inc",105028.0,7073.0
"Farmers Mutual Power Assn",1109.0,42.0
"Farmington City of",493563.0,37947.0
"Farmington River Power Co",27245.0,365.0
"Fayetteville Public Works Comm",1558098.0,110510.0
"First Electric Coop Corp",939303.0,61002.0
"Fitchburg Gas & Elec Light Co",369171.0,37702.0
"Florence City of",931423.0,55439.0
"Florida Power & Light Co",67078332.0,5061333.0
"Florida Power Corp",25179115.0,1590717.0
"Foley City of (Riviera Utils)",422927.0,30279.0
"Four County Elec Member Corp",314812.0,28481.0
"Fox Islands Electric Coop Inc",6127.0,1085.0
"Frankfort City of",549013.0,22258.0
"Franklin Electric Coop",154479.0,10977.0
"Freeport Village of Inc",220900.0,13636.0
"Fremont City of",290123.0,13387.0
"Fulton City of",58089.0,3286.0
"Gallup City of",159785.0,13305.0
"Garland City of",1705172.0,101664.0
"Georgia Power Co",54428001.0,3449988.0
"Gibson County Elec Member Corp",602410.0,35408.0
"Glidden Rural Electric Coop",29889.0,2539.0
"Golden Valley Elec Assn Inc",470906.0,42117.0
"Goldenwest Electric Coop Inc",7243.0,631.0
"Goldsboro Borough of",2713.0,268.0
"Granbury City of",56338.0,3785.0
"Grand Island City of",470353.0,22749.0
"Granite State Electric Co",624009.0,54889.0
"Green Mountain Power Corp",1611011.0,118326.0
"Green River Electric Corp",4203046.0,146685.0
"Greeneville City of",818582.0,43310.0
"Greenville Utilities Comm",999502.0,83995.0
"Greenwood Utilities Comm",245964.0,14527.0
"Gueydan Town of",13343.0,1161.0
"Gulf States Utilities Co",26712319.0,1608920.0
"Hagerstown City of",298349.0,15736.0
"Hastings City of",244441.0,12440.0
"Hawaii Electric Light Co Inc",778994.0,100984.0
"Hawaiian Electric Co Inc",6538955.0,534504.0
"Henderson-Union Rural E C C",3311267.0,113928.0
"Highline Electric Assn",194158.0,14204.0
"Hogansville City of",18273.0,1430.0
"Holland City of",616700.0,33110.0
"Holy Cross Electric Assn Inc",600853.0,42152.0
"Homer Electric Assn Inc",393647.0,32913.0
"Hopkinsville City of",369561.0,19226.0
"Houlton Water Co",80607.0,6894.0
"Houston Lighting & Power Co",59145657.0,3584837.0
"Huntsville City of",3440084.0,183311.0
"Hyde Park Village of Inc",9223.0,834.0
"Hyrum City Corp",52253.0,2624.0
"Idaho Falls City of",584113.0,24255.0
"Idaho Power Co",10708754.0,387861.0
"Illinois Power Co",15712372.0,1077924.0
"Indian Electric Coop Inc",284563.0,20532.0
"Indiana Michigan Power Co",11722696.0,635697.0
"Indianapolis Power & Light Co",11966537.0,603801.0
"Interstate Power Co",4278701.0,206496.0
"Iowa Electric Light & Power Co",4318862.0,317648.0
"Iowa Power & Light Co",5590526.0,357922.0
"Iowa Public Service Co",3521941.0,194404.0
"Iowa Southern Utilities Co",2384177.0,105626.0
"Iowa-Illinois Gas&Electric Co",3060537.0,180325.0
"Jackson City of",1068222.0,56396.0
"Jackson Electric Coop Inc",76095.0,5070.0
